Bit_size,Time
915608258171,169
980042946013,183
791137361647,112
857359349939,108
900851861383,104
2263087547311,218
3794584317119,268
3639614225111,268
4151855032609,284
4072525198799,293
17059556302067,788
11808901705541,556
13185767993081,583
14559578402899,614
14062643090371,610
39475715053727,1130
47295414281009,1208
39455516606437,1111
55583995583219,1334
50788167812299,1282
217765747405673,2833
154593285761531,2367
166913763637861,2453
279268762795889,3276
278100155265701,3218
875585427840593,5793
1090955116540697,6478
575093112492139,4681
842641274764279,5867
1051415148340153,6525
3276486503666507,11422
4445853701697917,13352
2336932027241401,9618
2718388694007083,10467
2899459513338293,10753
10498583240693983,20686
14396414445936767,24305
9685607129860631,19774
17324372775456037,26549
13756339678035589,23659
48298153419850063,44854
65103949370004889,51842
68543502798308687,53209
68858778734028721,53282
53242300100133311,46918
231394150408031687,98323
264983464689895219,104898
283917651459990739,108685
155262086154701609,80578
225847165662534557,97360