Number,Time,Reduction
337,1,337
521,1,521
271,0,271
997,1,997
907,0,907
173,0,173
929,1,929
137,0,137
101,0,101
229,0,229
953,1,953
227,1,227
181,0,181
127,0,127
101,0,101
179,0,179
251,0,251
101,0,101
433,0,433
107,0,107
821,0,821
107,0,107
541,0,541
439,0,439
107,0,107
179,0,179
251,0,251
271,0,271
211,0,211
509,0,509
883,0,883
113,1,113
383,0,383
463,0,463
593,0,593
199,0,199
701,0,701
881,0,881
151,0,151
313,0,313
127,0,127
347,0,347
167,0,167
421,0,421
151,0,151
227,0,227
233,0,233
269,0,269
103,0,103
929,1,929
3119,1,3119
6551,1,6551
1931,1,1931
4987,3,4987
2239,1,2239
7757,7,7757
3019,0,3019
1481,0,1481
2131,1,2131
4663,1,4663
9067,2,9067
1571,0,1571
6827,1,6827
1699,0,1699
9677,0,9677
1217,0,1217
1321,0,1321
4363,0,4363
1861,0,1861
1889,1,1889
2069,0,2069
1283,0,1283
2549,0,2549
7013,1,7013
1999,0,1999
4799,1,4799
4481,1,4481
2017,1,2017
6971,1,6971
2179,1,2179
4549,7,4549
1277,0,1277
2671,0,2671
5471,0,5471
1879,0,1879
1487,0,1487
1579,0,1579
1669,1,1669
9743,1,9743
9901,1,9901
3853,0,3853
4799,0,4799
3923,0,3923
1117,0,1117
1669,0,1669
3613,0,3613
1669,0,1669
4973,1,4973
6221,0,6221
1051,0,1051
86561,7,86561
19073,1,19073
72431,5,72431
44587,3,44587
15427,1,15427
29881,2,29881
17299,3,17299
11131,6,11131
19759,15,19759
26437,21,26437
16421,1,16421
20047,1,20047
32083,2,32083
10487,1,10487
15307,1,15307
75787,5,75787
94079,6,94079
89363,6,89363
78229,4,78229
90847,6,90847
29527,2,29527
41051,3,41051
11257,1,11257
32057,2,32057
10313,1,10313
10853,1,10853
39397,2,39397
39251,3,39251
92353,7,92353
87049,6,87049
34513,3,34513
48733,8,48733
19319,1,19319
23993,2,23993
13597,1,13597
19853,1,19853
13397,1,13397
21817,2,21817
16603,1,16603
13037,1,13037
96487,6,96487
51031,4,51031
20747,1,20747
28541,2,28541
14957,1,14957
50549,3,50549
11833,1,11833
10193,1,10193
11471,1,11471
13841,1,13841
371873,25,371873
860789,59,860789
923441,738,923441
251477,19,251477
635879,45,635879
618997,43,618997
937501,65,937501
838853,64,838853
544889,37,544889
213887,14,213887
476831,33,476831
267901,19,267901
486589,35,486589
201437,14,201437
856831,59,856831
276953,19,276953
101107,7,101107
853933,57,853933
145633,10,145633
654167,49,654167
208991,14,208991
123923,9,123923
862219,58,862219
830503,55,830503
785423,49,785423
494471,33,494471
667631,44,667631
106663,7,106663
500041,33,500041
154723,11,154723
751691,55,751691
421123,28,421123
441751,29,441751
306953,20,306953
285557,18,285557
346111,23,346111
165833,16,165833
204917,14,204917
103981,7,103981
405541,27,405541
660131,44,660131
813811,53,813811
130307,9,130307
202799,14,202799
288773,24,288773
266009,18,266009
232987,16,232987
324179,22,324179
942869,63,942869
355697,22,355697
1824007,120,1824007
3563767,232,3563767
6028457,401,6028457
2755829,190,2755829
3316057,221,3316057
5640619,384,5640619
1216807,86,1216807
4168883,277,4168883
1067497,71,1067497
3421393,234,3421393
7192027,473,7192027
1026577,68,1026577
4027189,267,4027189
2436901,159,2436901
7599509,510,7599509
2193733,149,2193733
5986621,402,5986621
3718553,250,3718553
6603979,430,6603979
2821817,191,2821817
4340719,294,4340719
7370579,507,7370579
6215597,419,6215597
5582771,366,5582771
6833621,455,6833621
1428601,94,1428601
1755319,116,1755319
1531181,105,1531181
6536813,461,6536813
2432293,192,2432293
6769003,469,6769003
5578847,384,5578847
8412163,599,8412163
7058341,475,7058341
1005133,66,1005133
6475913,422,6475913
1465729,107,1465729
8757517,590,8757517
1543259,102,1543259
5578619,372,5578619
1979321,129,1979321
3541957,231,3541957
3631007,237,3631007
2063933,132,2063933
4402381,291,4402381
2799991,189,2799991
2310449,156,2310449
8410229,567,8410229
1485101,99,1485101
5154389,346,5154389
27907609,1904,27907609
34976993,2452,34976993
21656699,1460,21656699
12390701,829,12390701
23675233,1575,23675233
30487621,2032,30487621
81528439,5398,81528439
10509463,708,10509463
51186841,3400,51186841
11721371,770,11721371
54490921,3630,54490921
59217679,3977,59217679
91012967,6274,91012967
53792503,3640,53792503
11941529,791,11941529
49763993,3382,49763993
22178579,1469,22178579
11223347,750,11223347
55716431,3704,55716431
20351971,1346,20351971
77939923,5195,77939923
29304089,1945,29304089
29702951,1972,29702951
16608517,1091,16608517
79043117,5280,79043117
19007561,1267,19007561
10771819,725,10771819
14660693,995,14660693
13465121,905,13465121
10113107,680,10113107
25872331,1727,25872331
16536073,1095,16536073
46802383,3121,46802383
21363791,1416,21363791
20204179,1365,20204179
50299387,3360,50299387
13048103,871,13048103
10464593,690,10464593
42100151,2787,42100151
16168813,1067,16168813
14035069,907,14035069
76887287,4985,76887287
41886671,2715,41886671
27333667,1762,27333667
51923591,3352,51923591
41664881,2697,41664881
30697543,2000,30697543
97707377,6301,97707377
21043681,1369,21043681
82408721,5347,82408721
983264179,63897,983264179
748286599,48693,748286599
116450023,7569,116450023
562505407,36581,562505407
141176831,9599,141176831
677264803,43987,677264803
137260843,8876,137260843
117171511,7589,117171511
188745961,12587,188745961
203424047,13758,203424047
246447547,16001,246447547
698710703,45450,698710703
695565593,45375,695565593
473453501,30675,473453501
339326831,22085,339326831
124998101,8108,124998101
206686787,13385,206686787
121266611,7912,121266611
312932443,20354,312932443
137290969,9129,137290969
134082547,8940,134082547
583539937,38219,583539937
149103359,9721,149103359
103097831,6692,103097831
690222961,44847,690222961
144841981,9468,144841981
180094571,11697,180094571
932288893,60511,932288893
130784513,8480,130784513
208983349,13580,208983349
423880859,27562,423880859
190758203,12373,190758203
331958219,21597,331958219
308810963,20085,308810963
203609587,13286,203609587
774577931,50971,774577931
244072811,16010,244072811
200388359,13079,200388359
115536823,7523,115536823
187436647,12193,187436647
922530841,60280,922530841
233414669,15176,233414669
979960349,64165,979960349
245264381,15995,245264381
925350487,60318,925350487
149810831,9735,149810831
776246651,50378,776246651
186685003,12237,186685003
375131963,24296,375131963
126718859,8210,126718859